age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
TOTAL,NAT,NR,F,SE	9943 	9909 	9825 	9424 	8795 	8613 	7591 	7468 	6718 	7024 	7683 	7938 	8075 	7750 	7419 	6642 
TOTAL,NAT,NR,F,SI	944 	1201 	1537 	1158 	1246 	1116 b	769 	740 	710 	638 	574 	639 	483 	426 	633 	411 
TOTAL,NAT,NR,F,SK	1376 	1229 b	558 b	587 	627 	680 	688 	646 	867 	1141 	901 b	820 	705 	: 	: 	: 
TOTAL,NAT,NR,F,TR	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,F,UK	35700 	37509 	36468 	45273 	45290 	38097 b	36267 	: 	39368 	: 	: 	: 	50267 	49099 	: 	: 
TOTAL,NAT,NR,M,AT	5612 	5000 	4978 	5281 	5415 	5338 	5220 	10449 	11120 	11935 	11947 	13843 b	9081 	8670 	8798 	8349 
TOTAL,NAT,NR,M,BE	11124 	10750 	11428 	11533 b	: 	: 	23518 	23274 	22452 	21331 	21357 	19424 	17946 	16831 	15649 	15372 
TOTAL,NAT,NR,M,BG	2202 p	2394 	: 	: 	: 	623 	839 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,M,CH	13679 	12691 	12832 b	11817 	11910 	12004 	11605 	10801 	10236 	10289 	: 	11756 	12770 	13580 	: 	12403 
TOTAL,NAT,NR,M,CY	976 	410 	1067 	952 	: 	644 	568 	515 	1346 	897 	1198 	1229 	2344 	736 	: 	: 
TOTAL,NAT,NR,M,CZ	2298 	2739 	3972 	8834 	10599 	12875 b	1126 	1222 	991 	1378 	1290 	525 	833 	1920 	1651 	: 
TOTAL,NAT,NR,M,DE	45231 	47782 	49250 	47466 	44264 b	60250 	60055 	59859 	71877 	103512 	91885 	99803 	104695 	104586 	109187 	106645 
TOTAL,NAT,NR,M,DK	9841 	9640 	9502 	9635 	10137 	10285 b	11304 	11532 	11544 	11417 	11189 	11328 	11150 	10963 	11069 	11123 
TOTAL,NAT,NR,M,EE	1295 	827 	1181 	927 	999 	1023 b	964 	353 	218 	150 	: 	: 	: 	: 	: 	228 
TOTAL,NAT,NR,M,EL	14508 	14256 	14718 	13610 	11317 	12984 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,M,ES	16492 	16170 	17825 	15338 	13940 	15864 b	18743 	18828 	18260 	19599 	42373 b	21060 	11043 	16404 	14585 	12298 
TOTAL,NAT,NR,M,FI	3938 	3868 	4391 	3612 	4289 	4703 	4227 	4242 	4211 	4248 	4135 	6 	12 	8 	3403 	2865 
TOTAL,NAT,NR,M,FR	57346 	57685 	59093 	56917 	62019 	62133 	62569 	64093 b	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,M,HR	2716 	2219 	2401 	: 	: 	6841 	7555 	7728 	: 	8725 	8546 	9428 	11112 	: 	: 	: 
TOTAL,NAT,NR,M,HU	9870 	7080 	2828 	844 b	1150 	1042 b	900 	1144 	1185 	1096 	1047 	979 	985 	782 	668 	650 
TOTAL,NAT,NR,M,IE	6426 p	9714 	11223 	9961 	9599 	11969 	12576 	14903 b	7125 	9150 	8725 	10375 	12600 	12850 	12275 	13350 
TOTAL,NAT,NR,M,IS	1437 	1158 	955 	878 	711 b	1419 	1651 	: 	: 	: 	: 	1212 	: 	1415 	: 	1434 
TOTAL,NAT,NR,M,IT	15711 	16075 	16942 	18870 	19965 p	20630 p	22873 	23640 	23978 	27502 	24525 	29478 	20011 	19434 	18405 	16843 
TOTAL,NAT,NR,M,KG	: 	: 	: 	: 	: 	: 	1700 	1320 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,M,LI	79 	100 	69 	88 	74 	80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,M,LT	10018 	9224 	7429 	2186 	2327 	3225 	3116 	2912 	2498 	1686 	653 	406 	368 	422 	559 	569 
